city,temp,humidity,pressure,wind_speed,weather,outage,weather_code
Visakhapatnam,30.94,55,1002,6.17,Haze,1,1
Vijayawada,27.97,83,1004,5.14,Clouds,0,0
Guntur,32.05,55,1004,6.66,Clouds,0,0
Nellore,33.39,40,1005,6.0,Clouds,0,0
Kurnool,28.62,55,1007,7.55,Clouds,0,0
Rajahmundry,28.13,78,1003,3.09,Clouds,0,0
Tirupati,30.57,58,1007,4.12,Clouds,0,0
Kadapa,29.94,52,1007,9.1,Clouds,0,0
Anantapur,26.98,63,1009,10.19,Clouds,0,0
Eluru,29.72,70,1004,1.62,Clouds,0,0
Ongole,32.67,47,1005,5.84,Clouds,0,0
Machilipatnam,31.19,61,1004,3.23,Clouds,0,0
Tenali,30.5,57,1004,6.76,Clouds,0,0
Chittoor,28.85,52,1008,5.34,Clouds,0,0
Proddatur,29.91,53,1007,8.99,Clouds,0,0
Srikakulam,28.77,67,1002,2.75,Clouds,0,0
Hindupur,25.31,75,1011,7.69,Clouds,0,0
Bhimavaram,29.32,70,1004,0.85,Clouds,0,0
Nandyal,29.8,53,1006,6.79,Clouds,0,0
